STOP_FRISK_ID,STOP_FRISK_TIME,MONTH2,DAY2,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME
10523,12:37:00,August,Saturday,BURGLARY,10,N,Y,(null),24,FEMALE,BLACK HISPANIC,QUEENS
10524,21:04:00,August,Sunday,BURGLARY,15,N,Y,(null),22,MALE,BLACK,QUEENS
10525,21:30:00,August,Friday,CPW,5,N,Y,(null),34,MALE,BLACK,QUEENS
10526,18:15:00,August,Wednesday,MURDER,15,N,Y,(null),36,MALE,BLACK,QUEENS
10527,18:15:00,August,Wednesday,MURDER,15,N,Y,(null),31,MALE,BLACK,QUEENS
10528,18:15:00,August,Wednesday,MURDER,15,N,Y,(null),38,MALE,BLACK,QUEENS
10529,18:15:00,August,Wednesday,MURDER,15,N,Y,(null),38,MALE,BLACK,QUEENS
10530,2:05:00,September,Sunday,CPW,150,N,Y,(null),35,MALE,BLACK,QUEENS
10531,2:05:00,September,Sunday,CPW,120,Y,Y,(null),35,MALE,BLACK,QUEENS
10532,23:34:00,September,Wednesday,CPW,40,N,Y,(null),54,MALE,BLACK,QUEENS
10533,12:50:00,September,Friday,OTHER,2,N,N,(null),46,MALE,BLACK,QUEENS
10534,2:15:00,September,Wednesday,ASSAULT,10,N,Y,(null),57,MALE,BLACK,QUEENS
10535,15:30:00,September,Monday,CRIMINAL POSSESSION OF MARIHUANA,45,N,Y,(null),29,MALE,BLACK,QUEENS
10536,22:12:00,September,Tuesday,GRAND LARCENY AUTO,5,N,Y,(null),22,MALE,BLACK,QUEENS
10537,0:47:00,September,Wednesday,CPW,60,N,Y,(null),35,MALE,BLACK,QUEENS
10538,18:35:00,September,Friday,BURGLARY,10,N,Y,(null),(null),MALE,BLACK,QUEENS
10539,18:35:00,September,Friday,BURGLARY,10,N,Y,(null),1,MALE,BLACK,QUEENS
